	time1	time2	time3	time4	time5	sample
sample1	3.815685644	3.937700749	3.844351591	3.905225852	3.884297764	Fiber1
sample2	3.721581376	3.759031269	3.895378064	3.854195298	3.77789581	Fiber2
sample3	3.589451496	3.627199584	3.919219032	2.922544854	3.108436137	Fiber3
sample4	3.892673554	3.971566163	3.930470433	2.946538722	3.956960056	Fiber4
sample5	3.692879248	3.891536621	3.608038944	3.710104497	3.903263344	Fiber5
sample6	3.920537327	3.875525941	3.659861268	3.865021492	3.859346805	Fiber6
						
						
	time1	time2	time3	time4	time5	sample
sample1	2.036513121	0	0	0	0	Fat1
sample2	2.51532931	0	0	0.39880773	0	Fat2
sample3	1.608172892	0	0	0	0	Fat3
sample4	1.528646788	0	0	0	0	Fat4
sample5	2.462453404	0	0	0.538070787	0	Fat5
sample6	1.145507171	0	0	0	0	Fat6
						
						
	time1	time2	time3	time4	time5	sample
sample1	0	0	0	0	0	Normal1
sample2	0	0	0	0.39880773	0	Normal2
sample3	0.920123326	0	0	0	0	Normal3
sample4	0.725993259	0	0	0	0	Normal4
sample5	0.630529571	0	0	0.538070787	0	Normal5
sample6	1.021147936	0	0	0	0	Normal6
