	Sub	Shannon	Time
1	Fat Diet with Probiotic	1.255461891	1
2	Fat Diet with Probiotic	2.258085599	1
3	Fat Diet with Probiotic	1.80609439	1
4	Fat Diet with Probiotic	1.500338177	1
5	Fat Diet with Probiotic	2.254753052	1
6	Fat Diet with Probiotic	1.910200893	1
7	Fat Diet with Probiotic	1.958882042	7
8	Fat Diet with Probiotic	0.968298623	7
9	Fat Diet with Probiotic	1.543956238	7
10	Fat Diet with Probiotic	1.287334054	7
11	Fat Diet with Probiotic	2.137719068	7
12	Fat Diet with Probiotic	1.421861044	7
13	Fat Diet with Probiotic	1.582390448	14
14	Fat Diet with Probiotic	1.681140797	14
15	Fat Diet with Probiotic	1.945114689	14
16	Fat Diet with Probiotic	2.017672995	14
17	Fat Diet with Probiotic	2.237971855	14
18	Fat Diet with Probiotic	1.868256156	14
19	Fat Diet with Probiotic	1.636558163	21
20	Fat Diet with Probiotic	2.03404832	21
21	Fat Diet with Probiotic	1.899591817	21
22	Fat Diet with Probiotic	1.954793249	21
23	Fat Diet with Probiotic	1.524902959	21
24	Fat Diet with Probiotic	1.897027136	21
25	Fat Diet with Probiotic	1.589022494	28
26	Fat Diet with Probiotic	1.883829956	28
27	Fat Diet with Probiotic	2.401701755	28
28	Fat Diet with Probiotic	1.97617957	28
29	Fat Diet with Probiotic	1.995022965	28
30	Fat Diet with Probiotic	2.052013875	28
31	Fiber Diet with Probiotic	1.350380108	1
32	Fiber Diet with Probiotic	1.858457307	1
33	Fiber Diet with Probiotic	1.740800966	1
34	Fiber Diet with Probiotic	1.029259922	1
35	Fiber Diet with Probiotic	1.705577969	1
36	Fiber Diet with Probiotic	0.849165198	1
37	Fiber Diet with Probiotic	0.731913335	7
38	Fiber Diet with Probiotic	1.79733045	7
39	Fiber Diet with Probiotic	1.72219428	7
40	Fiber Diet with Probiotic	0.401803665	7
41	Fiber Diet with Probiotic	0.980901371	7
42	Fiber Diet with Probiotic	1.117163568	7
43	Fiber Diet with Probiotic	1.195506768	14
44	Fiber Diet with Probiotic	1.049393094	14
45	Fiber Diet with Probiotic	0.827945425	14
46	Fiber Diet with Probiotic	0.7760245	14
47	Fiber Diet with Probiotic	1.686148336	14
48	Fiber Diet with Probiotic	1.501027052	14
49	Fiber Diet with Probiotic	0.857093174	21
50	Fiber Diet with Probiotic	1.372682222	21
51	Fiber Diet with Probiotic	2.453826562	21
52	Fiber Diet with Probiotic	2.135528039	21
53	Fiber Diet with Probiotic	1.626992333	21
54	Fiber Diet with Probiotic	1.090563494	21
55	Fiber Diet with Probiotic	1.101424505	28
56	Fiber Diet with Probiotic	1.538750702	28
57	Fiber Diet with Probiotic	2.233329209	28
58	Fiber Diet with Probiotic	0.514723849	28
59	Fiber Diet with Probiotic	0.828951876	28
60	Fiber Diet with Probiotic	1.151821008	28
61	Normal Diet with Probiotic	1.934327351	1
62	Normal Diet with Probiotic	1.925876735	1
63	Normal Diet with Probiotic	2.106715508	1
64	Normal Diet with Probiotic	1.700249706	1
65	Normal Diet with Probiotic	1.844567372	1
66	Normal Diet with Probiotic	1.865852003	1
67	Normal Diet with Probiotic	2.167796629	7
68	Normal Diet with Probiotic	2.143295769	7
69	Normal Diet with Probiotic	1.945885681	7
70	Normal Diet with Probiotic	1.842466874	7
71	Normal Diet with Probiotic	1.919309194	7
72	Normal Diet with Probiotic	2.04800527	7
73	Normal Diet with Probiotic	1.887972067	14
74	Normal Diet with Probiotic	2.174604665	14
75	Normal Diet with Probiotic	2.053471442	14
76	Normal Diet with Probiotic	1.7643615	14
77	Normal Diet with Probiotic	1.859679933	14
78	Normal Diet with Probiotic	2.045315034	14
79	Normal Diet with Probiotic	2.070149578	21
80	Normal Diet with Probiotic	2.068589818	21
81	Normal Diet with Probiotic	2.283788424	21
82	Normal Diet with Probiotic	2.026080667	21
83	Normal Diet with Probiotic	1.937777457	21
84	Normal Diet with Probiotic	2.063538116	21
85	Normal Diet with Probiotic	1.725314543	28
86	Normal Diet with Probiotic	2.07863869	28
87	Normal Diet with Probiotic	2.07097167	28
88	Normal Diet with Probiotic	2.280890896	28
89	Normal Diet with Probiotic	2.045390309	28
90	Normal Diet with Probiotic	2.054165854	28
91	Control	1.841073608	1
92	Control	1.918182061	1
93	Control	1.593754287	1
94	Control	1.805818886	1
95	Control	2.133272966	1
96	Control	2.074974303	1
97	Control	1.986570546	7
98	Control	1.987357193	7
99	Control	1.435895002	7
100	Control	1.412485071	7
101	Control	2.039592914	7
102	Control	2.24668999	7
103	Control	2.058957809	14
104	Control	1.974053166	14
105	Control	1.564869248	14
106	Control	1.746886171	14
107	Control	2.026125463	14
108	Control	1.699318157	14
109	Control	1.731375833	21
110	Control	2.197129058	21
111	Control	1.69712707	21
112	Control	1.762496994	21
113	Control	2.070188181	21
114	Control	2.062543705	21
115	Control	1.968488907	28
116	Control	1.923038745	28
117	Control	1.90807589	28
118	Control	1.809194779	28
119	Control	1.784548947	28
120	Control	2.0737818	28
