	Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value				Group	Bray_Curtis_distances	Value
1	Fiber	D1	0.888402			1	Fat	D1	0.926097789			1	Normal	D1	0.494506175
2	Fiber	D1	0.816956209			2	Fat	D1	0.842361084			2	Normal	D1	0.5058127
3	Fiber	D1	0.949408395			3	Fat	D1	0.96145259			3	Normal	D1	0.53109213
4	Fiber	D1	0.890704105			4	Fat	D1	0.925717793			4	Normal	D1	0.4999465
5	Fiber	D1	0.880174894			5	Fat	D1	0.856799271			5	Normal	D1	0.480224948
6	Fiber	D1	0.856521686			6	Fat	D1	0.901956975			6	Normal	D1	0.498586125
7	Fiber	D1	0.878830894			7	Fat	D1	0.814151037			7	Normal	D1	0.380937338
8	Fiber	D1	0.8569888			8	Fat	D1	0.747417463			8	Normal	D1	0.367413168
9	Fiber	D1	0.965520495			9	Fat	D1	0.946688905			9	Normal	D1	0.542341908
10	Fiber	D1	0.9000943			10	Fat	D1	0.850268037			10	Normal	D1	0.352634768
11	Fiber	D1	0.820044282			11	Fat	D1	0.753737237			11	Normal	D1	0.496097424
12	Fiber	D1	0.825047274			12	Fat	D1	0.773144523			12	Normal	D1	0.553076611
13	Fiber	D1	0.879233112			13	Fat	D1	0.844095892			13	Normal	D1	0.268413663
14	Fiber	D1	0.860146521			14	Fat	D1	0.7728232			14	Normal	D1	0.2499155
15	Fiber	D1	0.9639405			15	Fat	D1	0.93050029			15	Normal	D1	0.428539114
16	Fiber	D1	0.902669415			16	Fat	D1	0.8584566			16	Normal	D1	0.2794572
17	Fiber	D1	0.812502009			17	Fat	D1	0.840041684			17	Normal	D1	0.289472329
18	Fiber	D1	0.844043			18	Fat	D1	0.808300171			18	Normal	D1	0.369615805
19	Fiber	D1	0.880509794			19	Fat	D1	0.866150693			19	Normal	D1	0.3013114
20	Fiber	D1	0.8771871			20	Fat	D1	0.7994614			20	Normal	D1	0.285570136
21	Fiber	D1	0.949611892			21	Fat	D1	0.959384494			21	Normal	D1	0.458830346
22	Fiber	D1	0.8965912			22	Fat	D1	0.8904048			22	Normal	D1	0.265636737
23	Fiber	D1	0.880604388			23	Fat	D1	0.808072681			23	Normal	D1	0.428861871
24	Fiber	D1	0.876737082			24	Fat	D1	0.804275971			24	Normal	D1	0.490174749
25	Fiber	D1	0.861599893			25	Fat	D1	0.8638469			25	Normal	D1	0.327066034
26	Fiber	D1	0.8475658			26	Fat	D1	0.777520811			26	Normal	D1	0.294559471
27	Fiber	D1	0.949024792			27	Fat	D1	0.952943095			27	Normal	D1	0.520308476
28	Fiber	D1	0.8919903			28	Fat	D1	0.878669206			28	Normal	D1	0.311688169
29	Fiber	D1	0.805988681			29	Fat	D1	0.764432788			29	Normal	D1	0.4338783
30	Fiber	D1	0.816079072			30	Fat	D1	0.79905488			30	Normal	D1	0.485715174
31	Fiber	D1	0.932527503			31	Fat	D1	0.874865687			31	Normal	D1	0.446935472
32	Fiber	D1	0.911459909			32	Fat	D1	0.815973091			32	Normal	D1	0.3706483
33	Fiber	D1	0.968578998			33	Fat	D1	0.959704292			33	Normal	D1	0.53471113
34	Fiber	D1	0.935919106			34	Fat	D1	0.878142694			34	Normal	D1	0.4011206
35	Fiber	D1	0.9362085			35	Fat	D1	0.888545483			35	Normal	D1	0.536366454
36	Fiber	D1	0.895939495			36	Fat	D1	0.826742665			36	Normal	D1	0.528992329
37	Fiber	D13	0.923452608			37	Fat	D13	0.818923691			37	Normal	D13	0.495719076
38	Fiber	D13	0.9213741			38	Fat	D13	0.719693358			38	Normal	D13	0.445978728
39	Fiber	D13	0.975670799			39	Fat	D13	0.885141277			39	Normal	D13	0.6413705
40	Fiber	D13	0.9442142			40	Fat	D13	0.910121887			40	Normal	D13	0.536502523
41	Fiber	D13	0.945807005			41	Fat	D13	0.756923488			41	Normal	D13	0.425940086
42	Fiber	D13	0.944406614			42	Fat	D13	0.764457924			42	Normal	D13	0.627505712
43	Fiber	D13	0.879726612			43	Fat	D13	0.922752208			43	Normal	D13	0.3357371
44	Fiber	D13	0.8763613			44	Fat	D13	0.9169802			44	Normal	D13	0.274024927
45	Fiber	D13	0.970196799			45	Fat	D13	0.969323498			45	Normal	D13	0.539249331
46	Fiber	D13	0.9084362			46	Fat	D13	0.9333412			46	Normal	D13	0.340025534
47	Fiber	D13	0.882560312			47	Fat	D13	0.889652411			47	Normal	D13	0.4112666
48	Fiber	D13	0.934229316			48	Fat	D13	0.967685808			48	Normal	D13	0.693228146
49	Fiber	D13	0.910149913			49	Fat	D13	0.878433106			49	Normal	D13	0.701877215
50	Fiber	D13	0.903554805			50	Fat	D13	0.869833793			50	Normal	D13	0.648699082
51	Fiber	D13	0.9711872			51	Fat	D13	0.960825196			51	Normal	D13	0.766686777
52	Fiber	D13	0.918487604			52	Fat	D13	0.901907295			52	Normal	D13	0.720022986
53	Fiber	D13	0.906403814			53	Fat	D13	0.844424708			53	Normal	D13	0.653153317
54	Fiber	D13	0.963373811			54	Fat	D13	0.921981216			54	Normal	D13	0.565063187
55	Fiber	D13	0.949788095			55	Fat	D13	0.851678015			55	Normal	D13	0.309164504
56	Fiber	D13	0.956667391			56	Fat	D13	0.8559828			56	Normal	D13	0.267748237
57	Fiber	D13	0.974657594			57	Fat	D13	0.954133998			57	Normal	D13	0.5306334
58	Fiber	D13	0.958882992			58	Fat	D13	0.90568			58	Normal	D13	0.244747138
