"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Actinomyces_urogenitalis","16.4772941025263","0.665786691","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Actinomyces_urogenitalis","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Actinomyces_urogenitalis"
"Adlercreutzia_equolifaciens","17.580854169984605","0.467192308","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Adlercreutzia_equolifaciens"
"Asaccharobacter_celatus","15.202232791363226","0.439596863","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Asaccharobacter_celatus","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Asaccharobacter_celatus"
"Bacteroides_thetaiotaomicron","37.370570382734904","-0.40727929","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Bacteroides_thetaiotaomicron","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Bacteroides_thetaiotaomicron"
"Clostridium_sp_ASF502","32.29460961270424","0.400275907","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Clostridium_sp_ASF502","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Clostridium_sp_ASF502"
"Lachnospiraceae_bacterium_28_4","37.84792719144257","0.565481467","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Lachnospiraceae_bacterium_28_4","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Lachnospiraceae_bacterium_28_4"
"Lactobacillus_murinus","25.34339929520195","0.461175975","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Lactobacillus_murinus","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Lactobacillus_murinus"
"Streptococcus_acidominimus","10.290977443609023","0.649973074","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Streptococcus_acidominimus","false","interacts with","Lachnospiraceae_bacterium_M18_1 (interacts with) Streptococcus_acidominimus"
"Actinomyces_urogenitalis","10.404891187244129","0.627556753","interacts with","Streptococcus_acidominimus (interacts with) Actinomyces_urogenitalis","false","interacts with","Streptococcus_acidominimus (interacts with) Actinomyces_urogenitalis"
"Adlercreutzia_equolifaciens","16.880875468289652","0.48740346","interacts with","Streptococcus_acidominimus (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Streptococcus_acidominimus (interacts with) Adlercreutzia_equolifaciens"
"Asaccharobacter_celatus","21.773139636869615","0.403802999","interacts with","Streptococcus_acidominimus (interacts with) Asaccharobacter_celatus","false","interacts with","Streptococcus_acidominimus (interacts with) Asaccharobacter_celatus"
