"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Streptococcus_acidominimus","0.0","0.0","interacts with","Streptococcus_acidominimus (interacts with) Streptococcus_acidominimus","false","interacts with","Streptococcus_acidominimus (interacts with) Streptococcus_acidominimus"
"Staphylococcus_vitulinus","0.0","0.0","interacts with","Staphylococcus_vitulinus (interacts with) Staphylococcus_vitulinus","false","interacts with","Staphylococcus_vitulinus (interacts with) Staphylococcus_vitulinus"
"Staphylococcus_sciuri","0.0","0.0","interacts with","Staphylococcus_sciuri (interacts with) Staphylococcus_sciuri","false","interacts with","Staphylococcus_sciuri (interacts with) Staphylococcus_sciuri"
"Ruthenibacterium_lactatiformans","0.0","0.0","interacts with","Ruthenibacterium_lactatiformans (interacts with) Ruthenibacterium_lactatiformans","false","interacts with","Ruthenibacterium_lactatiformans (interacts with) Ruthenibacterium_lactatiformans"
"Romboutsia_ilealis","0.0","0.0","interacts with","Romboutsia_ilealis (interacts with) Romboutsia_ilealis","false","interacts with","Romboutsia_ilealis (interacts with) Romboutsia_ilealis"
"Proteus_mirabilis","0.0","0.0","interacts with","Proteus_mirabilis (interacts with) Proteus_mirabilis","false","interacts with","Proteus_mirabilis (interacts with) Proteus_mirabilis"
"Proteus_hauseri","0.0","0.0","interacts with","Proteus_hauseri (interacts with) Proteus_hauseri","false","interacts with","Proteus_hauseri (interacts with) Proteus_hauseri"
"Prevotella_sp_MGM2","0.0","0.0","interacts with","Prevotella_sp_MGM2 (interacts with) Prevotella_sp_MGM2","false","interacts with","Prevotella_sp_MGM2 (interacts with) Prevotella_sp_MGM2"
"Parabacteroides_merdae","0.0","0.0","interacts with","Parabacteroides_merdae (interacts with) Parabacteroides_merdae","false","interacts with","Parabacteroides_merdae (interacts with) Parabacteroides_merdae"
"Lactobacillus_murinus","0.0","0.0","interacts with","Lactobacillus_murinus (interacts with) Lactobacillus_murinus","false","interacts with","Lactobacillus_murinus (interacts with) Lactobacillus_murinus"
"Lactobacillus_johnsonii","0.0","0.0","interacts with","Lactobacillus_johnsonii (interacts with) Lactobacillus_johnsonii","false","interacts with","Lactobacillus_johnsonii (interacts with) Lactobacillus_johnsonii"
"Lactobacillus_intestinalis","0.0","0.0","interacts with","Lactobacillus_intestinalis (interacts with) Lactobacillus_intestinalis","false","interacts with","Lactobacillus_intestinalis (interacts with) Lactobacillus_intestinalis"
"Lachnospiraceae_bacterium_COE1","0.0","0.0","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Lachnospiraceae_bacterium_COE1","false","interacts with","Lachnospiraceae_bacterium_COE1 (interacts with) Lachnospiraceae_bacterium_COE1"
"Lachnospiraceae_bacterium_A4","0.0","0.0","interacts with","Lachnospiraceae_bacterium_A4 (interacts with) Lachnospiraceae_bacterium_A4","false","interacts with","Lachnospiraceae_bacterium_A4 (interacts with) Lachnospiraceae_bacterium_A4"
"Lachnospiraceae_bacterium_A2","0.0","0.0","interacts with","Lachnospiraceae_bacterium_A2 (interacts with) Lachnospiraceae_bacterium_A2","false","interacts with","Lachnospiraceae_bacterium_A2 (interacts with) Lachnospiraceae_bacterium_A2"
"Lachnospiraceae_bacterium_3_1","0.0","0.0","interacts with","Lachnospiraceae_bacterium_3_1 (interacts with) Lachnospiraceae_bacterium_3_1","false","interacts with","Lachnospiraceae_bacterium_3_1 (interacts with) Lachnospiraceae_bacterium_3_1"
"Ileibacterium_valens","0.0","0.0","interacts with","Ileibacterium_valens (interacts with) Ileibacterium_valens","false","interacts with","Ileibacterium_valens (interacts with) Ileibacterium_valens"
"Helicobacter_magdeburgensis","0.0","0.0","interacts with","Helicobacter_magdeburgensis (interacts with) Helicobacter_magdeburgensis","false","interacts with","Helicobacter_magdeburgensis (interacts with) Helicobacter_magdeburgensis"
"Firmicutes_bacterium_ASF500","0.0","0.0","interacts with","Firmicutes_bacterium_ASF500 (interacts with) Firmicutes_bacterium_ASF500","false","interacts with","Firmicutes_bacterium_ASF500 (interacts with) Firmicutes_bacterium_ASF500"
"Eubacterium_rectale","0.0","0.0","interacts with","Eubacterium_rectale (interacts with) Eubacterium_rectale","false","interacts with","Eubacterium_rectale (interacts with) Eubacterium_rectale"
"Eubacterium_plexicaudatum","0.0","0.0","interacts with","Eubacterium_plexicaudatum (interacts with) Eubacterium_plexicaudatum","false","interacts with","Eubacterium_plexicaudatum (interacts with) Eubacterium_plexicaudatum"
"Escherichia_coli","0.0","0.0","interacts with","Escherichia_coli (interacts with) Escherichia_coli","false","interacts with","Escherichia_coli (interacts with) Escherichia_coli"
"Enterococcus_hirae","0.0","0.0","interacts with","Enterococcus_hirae (interacts with) Enterococcus_hirae","false","interacts with","Enterococcus_hirae (interacts with) Enterococcus_hirae"
"Enterococcus_faecalis","0.0","0.0","interacts with","Enterococcus_faecalis (interacts with) Enterococcus_faecalis","false","interacts with","Enterococcus_faecalis (interacts with) Enterococcus_faecalis"
"Enterobacter_cloacae_complex","0.0","0.0","interacts with","Enterobacter_cloacae_complex (interacts with) Enterobacter_cloacae_complex","false","interacts with","Enterobacter_cloacae_complex (interacts with) Enterobacter_cloacae_complex"
"Corynebacterium_mastitidis","0.0","0.0","interacts with","Corynebacterium_mastitidis (interacts with) Corynebacterium_mastitidis","false","interacts with","Corynebacterium_mastitidis (interacts with) Corynebacterium_mastitidis"
"Clostridium_innocuum","0.0","0.0","interacts with","Clostridium_innocuum (interacts with) Clostridium_innocuum","false","interacts with","Clostridium_innocuum (interacts with) Clostridium_innocuum"
"Bifidobacterium_pseudolongum","0.0","0.0","interacts with","Bifidobacterium_pseudolongum (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Bifidobacterium_pseudolongum (interacts with) Bifidobacterium_pseudolongum"
"Bacteroides_xylanisolvens","0.0","0.0","interacts with","Bacteroides_xylanisolvens (interacts with) Bacteroides_xylanisolvens","false","interacts with","Bacteroides_xylanisolvens (interacts with) Bacteroides_xylanisolvens"
"Bacteroides_ovatus","0.0","0.0","interacts with","Bacteroides_ovatus (interacts with) Bacteroides_ovatus","false","interacts with","Bacteroides_ovatus (interacts with) Bacteroides_ovatus"
"Bacteroides_intestinalis","0.0","0.0","interacts with","Bacteroides_intestinalis (interacts with) Bacteroides_intestinalis","false","interacts with","Bacteroides_intestinalis (interacts with) Bacteroides_intestinalis"
"Bacteroides_dorei","0.0","0.0","interacts with","Bacteroides_dorei (interacts with) Bacteroides_dorei","false","interacts with","Bacteroides_dorei (interacts with) Bacteroides_dorei"
"Acutalibacter_muris","0.0","0.0","interacts with","Acutalibacter_muris (interacts with) Acutalibacter_muris","false","interacts with","Acutalibacter_muris (interacts with) Acutalibacter_muris"
"Actinomyces_urogenitalis","0.0","0.0","interacts with","Actinomyces_urogenitalis (interacts with) Actinomyces_urogenitalis","false","interacts with","Actinomyces_urogenitalis (interacts with) Actinomyces_urogenitalis"
"Acinetobacter_baumannii","0.0","0.0","interacts with","Acinetobacter_baumannii (interacts with) Acinetobacter_baumannii","false","interacts with","Acinetobacter_baumannii (interacts with) Acinetobacter_baumannii"
"Acetatifactor_muris","0.0","0.0","interacts with","Acetatifactor_muris (interacts with) Acetatifactor_muris","false","interacts with","Acetatifactor_muris (interacts with) Acetatifactor_muris"
"Aerococcaceae_bacterium","8.0","0.6695953","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_nepalensis","false","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_nepalensis"
"Aerococcaceae_bacterium","8.0","0.719194952","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_lentus","false","interacts with","Aerococcaceae_bacterium (interacts with) Staphylococcus_lentus"
"Lachnospiraceae_bacterium_10_1","3.3333333333333335","0.719194952","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_xylosus","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_xylosus"
"Lachnospiraceae_bacterium_10_1","6.333333333333332","0.719194952","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_nepalensis","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_nepalensis"
"Lachnospiraceae_bacterium_10_1","6.333333333333332","0.6695953","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_lentus","false","interacts with","Lachnospiraceae_bacterium_10_1 (interacts with) Staphylococcus_lentus"
