row	col	val1
Bifidobacterium_animalis	Actinomyces_urogenitalis	0.248426011
Bifidobacterium_pseudolongum	Actinomyces_urogenitalis	0.552943731
Corynebacterium_mastitidis	Actinomyces_urogenitalis	0.013483831
Corynebacterium_stationis	Actinomyces_urogenitalis	NA
Adlercreutzia_equolifaciens	Actinomyces_urogenitalis	0.009838999
Asaccharobacter_celatus	Actinomyces_urogenitalis	0.009148827
Enterorhabdus_caecimuris	Actinomyces_urogenitalis	0.001616706
Bacteroides_caecimuris	Actinomyces_urogenitalis	0.597610147
Bacteroides_dorei	Actinomyces_urogenitalis	NA
Bacteroides_faecichinchillae	Actinomyces_urogenitalis	0.357995738
Bacteroides_intestinalis	Actinomyces_urogenitalis	0.86615042
Bacteroides_massiliensis	Actinomyces_urogenitalis	0.715073956
Bacteroides_ovatus	Actinomyces_urogenitalis	NA
Bacteroides_sartorii	Actinomyces_urogenitalis	0.434975957
Bacteroides_stercorirosoris	Actinomyces_urogenitalis	0.852850249
Bacteroides_thetaiotaomicron	Actinomyces_urogenitalis	0.28138905
Bacteroides_uniformis	Actinomyces_urogenitalis	0.83622211
Bacteroides_vulgatus	Actinomyces_urogenitalis	0.40448291
Bacteroides_xylanisolvens	Actinomyces_urogenitalis	NA
Muribaculaceae_bacterium_DSM_103720	Actinomyces_urogenitalis	0.157313597
Muribaculum_intestinale	Actinomyces_urogenitalis	0.434975957
Butyricimonas_virosa	Actinomyces_urogenitalis	0.170023925
Prevotella_sp_MGM2	Actinomyces_urogenitalis	NA
Alistipes_indistinctus	Actinomyces_urogenitalis	0.434975957
Alistipes_shahii	Actinomyces_urogenitalis	0.664310389
Alistipes_timonensis	Actinomyces_urogenitalis	0.376055609
Parabacteroides_distasonis	Actinomyces_urogenitalis	0.777695022
Parabacteroides_goldsteinii	Actinomyces_urogenitalis	0.51486791
Parabacteroides_johnsonii	Actinomyces_urogenitalis	NA
Parabacteroides_merdae	Actinomyces_urogenitalis	NA
Mucispirillum_schaedleri	Actinomyces_urogenitalis	0.255817811
Jeotgalicoccus_halotolerans	Actinomyces_urogenitalis	NA
Staphylococcus_aureus	Actinomyces_urogenitalis	NA
Staphylococcus_lentus	Actinomyces_urogenitalis	NA
Staphylococcus_nepalensis	Actinomyces_urogenitalis	NA
Staphylococcus_sciuri	Actinomyces_urogenitalis	NA
Staphylococcus_vitulinus	Actinomyces_urogenitalis	NA
Staphylococcus_xylosus	Actinomyces_urogenitalis	NA
Aerococcaceae_bacterium	Actinomyces_urogenitalis	NA
Enterococcus_faecalis	Actinomyces_urogenitalis	NA
Enterococcus_gallinarum	Actinomyces_urogenitalis	0.876004897
Enterococcus_hirae	Actinomyces_urogenitalis	NA
Lactobacillus_intestinalis	Actinomyces_urogenitalis	0.357995738
Lactobacillus_johnsonii	Actinomyces_urogenitalis	NA
Lactobacillus_murinus	Actinomyces_urogenitalis	0.018524764
Lactobacillus_reuteri	Actinomyces_urogenitalis	0.552752195
Lactobacillus_taiwanensis	Actinomyces_urogenitalis	0.559369179
Streptococcus_acidominimus	Actinomyces_urogenitalis	0.000205631
Clostridium_sp_ASF356	Actinomyces_urogenitalis	NA
