row	col	val1
Bifidobacterium_animalis	Actinomyces_urogenitalis	NA
Bifidobacterium_pseudolongum	Actinomyces_urogenitalis	NA
Corynebacterium_mastitidis	Actinomyces_urogenitalis	NA
Corynebacterium_stationis	Actinomyces_urogenitalis	NA
Adlercreutzia_equolifaciens	Actinomyces_urogenitalis	NA
Asaccharobacter_celatus	Actinomyces_urogenitalis	NA
Enterorhabdus_caecimuris	Actinomyces_urogenitalis	NA
Bacteroides_caecimuris	Actinomyces_urogenitalis	NA
Bacteroides_dorei	Actinomyces_urogenitalis	NA
Bacteroides_faecichinchillae	Actinomyces_urogenitalis	NA
Bacteroides_intestinalis	Actinomyces_urogenitalis	NA
Bacteroides_massiliensis	Actinomyces_urogenitalis	NA
Bacteroides_ovatus	Actinomyces_urogenitalis	NA
Bacteroides_sartorii	Actinomyces_urogenitalis	NA
Bacteroides_stercorirosoris	Actinomyces_urogenitalis	NA
Bacteroides_thetaiotaomicron	Actinomyces_urogenitalis	NA
Bacteroides_uniformis	Actinomyces_urogenitalis	NA
Bacteroides_vulgatus	Actinomyces_urogenitalis	NA
Bacteroides_xylanisolvens	Actinomyces_urogenitalis	NA
Muribaculaceae_bacterium_DSM_103720	Actinomyces_urogenitalis	NA
Muribaculum_intestinale	Actinomyces_urogenitalis	NA
Butyricimonas_virosa	Actinomyces_urogenitalis	NA
Prevotella_sp_MGM2	Actinomyces_urogenitalis	NA
Alistipes_indistinctus	Actinomyces_urogenitalis	NA
Alistipes_shahii	Actinomyces_urogenitalis	NA
Alistipes_timonensis	Actinomyces_urogenitalis	NA
Parabacteroides_distasonis	Actinomyces_urogenitalis	NA
Parabacteroides_goldsteinii	Actinomyces_urogenitalis	NA
Parabacteroides_johnsonii	Actinomyces_urogenitalis	NA
Parabacteroides_merdae	Actinomyces_urogenitalis	NA
Mucispirillum_schaedleri	Actinomyces_urogenitalis	NA
Jeotgalicoccus_halotolerans	Actinomyces_urogenitalis	NA
Staphylococcus_aureus	Actinomyces_urogenitalis	NA
Staphylococcus_lentus	Actinomyces_urogenitalis	NA
Staphylococcus_nepalensis	Actinomyces_urogenitalis	NA
Staphylococcus_sciuri	Actinomyces_urogenitalis	NA
Staphylococcus_vitulinus	Actinomyces_urogenitalis	NA
Staphylococcus_xylosus	Actinomyces_urogenitalis	NA
Aerococcaceae_bacterium	Actinomyces_urogenitalis	NA
