	Fiber	Fat	Normal
Acutalibacter_muris	0	0	-0.571045754
Adlercreutzia_equolifaciens	-0.4189099	0.377830024	0.027115096
Alistipes_shahii	-0.00085734	-0.110238442	-0.480702325
Alistipes_timonensis	-0.562047945	0.087433202	0
Asaccharobacter_celatus	-0.41134594	0.387620107	-0.004156956
Bacteroides_caecimuris	-0.422024472	0.253486725	0.113305716
Bacteroides_thetaiotaomicron	-0.460583139	0.147664803	0.232634328
Enterorhabdus_caecimuris	-0.087430478	0.479538584	-0.404663273
Helicobacter_hepaticus	-0.525250278	-0.007144496	0.045272544
Helicobacter_typhlonius	-0.542602892	-0.279492691	0.056213409
Mucispirillum_schaedleri	-0.426966295	-0.119455976	-0.301897623
Parabacteroides_distasonis	-0.756618465	0.028577985	0.006775757
Parabacteroides_goldsteinii	-0.610678532	0.161769389	-0.55372993
Parasutterella_excrementihominis	-0.420689655	0	-0.104431958
Streptococcus_acidominimus	0	0.483938662	0

	Fiber	Fat	Normal
Parabacteroides_distasonis	0.00000131	0.880837753	0.971652569
Acutalibacter_muris	0	0	0.000981835
Adlercreutzia_equolifaciens	0.021217465	0.039538701	0.886897758
Alistipes_shahii	0.996412485	0.561970926	0.007169496
Alistipes_timonensis	0.001227799	0.645929648	0
Asaccharobacter_celatus	0.023925518	0.034310146	0.982606572
Bacteroides_caecimuris	0.020178302	0.176501465	0.551071235
Bacteroides_thetaiotaomicron	0.010427901	0.436150642	0.216047498
Enterorhabdus_caecimuris	0.645939963	0.007330969	0.026547797
Helicobacter_hepaticus	0.002878309	0.970110557	0.812227813
Helicobacter_typhlonius	0.001949196	0.134708506	0.767960307
Mucispirillum_schaedleri	0.018615811	0.529517074	0.104934659
Parabacteroides_goldsteinii	0.000338335	0.393080825	0.001501331
Parasutterella_excrementihominis	0.020618399	0	0.582869739
Streptococcus_acidominimus	0	0.006736208	0
