	X	Y			X	Y			X	Y
N1	0	0.97215		A1	0	1.02813		B1	75.08029	4.40698
N2	0	1.4048		A2	0	2.2631		B2	72.33472	1.29061
N3	0	1.4209		A3	0	0.85359		B3	73.28608	11.10196
N4	0.10499	2.08095		A4	0.1398	1.31836		B4	83.27935	3.34428
N5	0	1.7273		A5	0	1.91129		B5	45.69422	1.67731
N6	0	0.87103		A6	0	3.25711		B6	77.89985	6.39206
N7	0	1.70498		A7	0	0.42717		B7	80.03194	3.6524
N8	0	1.07398		A8	0.03452	0.62905		B8	51.29848	18.01157
N9	0.04271	0.96196		A9	2.90037	1.99644		B9	49.30367	15.32436
N10	0	1.12338		A10	0	2.76752		B10	40.55449	27.40688
N11	0	1.80958		A11	0	2.07384		B11	93.66259	0.26488
N12	0	1.29137		A12	0	0.76819		B12	90.56493	0.14198
N13	0	1.36235		A13	0	0.42797		B13	8.84176	5.13659
N14	0.05321	2.71491		A14	0.33779	1.2904		B14	78.10405	0.44424
N15	0	2.49436		A15	0	6.63522		B15	85.20605	0.98242
N16	0	1.47737		A16	0	6.6381		B16	42.38377	11.03527
N17	0	1.46224		A17	0	11.36563		B17	12.83619	12.12247
N18	0	0.87503		A18	0	5.13901		B18	8.36652	17.05413
N19	0.0832	0.56056		A19	0.40567	5.46586		B19	38.85541	18.51451
N20	0	0.59606		A20	0	5.91355		B20	83.02694	3.62206
N21	0	0.85999		A21	0	0.51194		B21	57.41578	3.57251
N22	0	0.59325		A22	0	3.71761		B22	59.96472	1.48922
N23	0	2.56765		A23	0.02505	5.96917		B23	71.48177	1.78257
N24	0	5.86463		A24	3.27589	4.14857		B24	52.67219	5.20518
N25	0	2.71878		A25	0	2.00239		B25	78.59195	0.97421
N26	0	1.12283		A26	0	0.12908		B26	86.63647	1.15578
N27	0	0.57661		A27	0	0.31792		B27	76.61217	1.24502
N28	0	1.28395		A28	0	0.33392		B28	80.39441	0.90462
N29	0	2.25208		A29	1.08771	0.04212		B29	65.41625	11.26477
N30	0	0.92202		A30	0	0.39143		B30	69.87979	4.08389
