"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Dorea_sp_5_2","23.247895731719257","0.403186788","interacts with","Dorea_sp_5_2 (interacts with) Acetatifactor_muris","false","interacts with","Dorea_sp_5_2 (interacts with) Acetatifactor_muris"
"Dorea_sp_5_2","16.780112703388564","-0.578900569","interacts with","Dorea_sp_5_2 (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Dorea_sp_5_2 (interacts with) Adlercreutzia_equolifaciens"
"Dorea_sp_5_2","17.989285714285714","-0.487329239","interacts with","Dorea_sp_5_2 (interacts with) Asaccharobacter_celatus","false","interacts with","Dorea_sp_5_2 (interacts with) Asaccharobacter_celatus"
"Dorea_sp_5_2","46.49426908660654","0.437152392","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_caecimuris","false","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_caecimuris"
"Dorea_sp_5_2","19.07834387834388","-0.51323693","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_faecichinchillae","false","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_faecichinchillae"
"Dorea_sp_5_2","41.432355999693456","0.415350389","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_uniformis","false","interacts with","Dorea_sp_5_2 (interacts with) Bacteroides_uniformis"
"Dorea_sp_5_2","24.652761617467498","-0.46142716","interacts with","Dorea_sp_5_2 (interacts with) Bifidobacterium_pseudolongum","false","interacts with","Dorea_sp_5_2 (interacts with) Bifidobacterium_pseudolongum"
"Dorea_sp_5_2","44.745177045177044","0.411201762","interacts with","Dorea_sp_5_2 (interacts with) Clostridium_sp_ASF356","false","interacts with","Dorea_sp_5_2 (interacts with) Clostridium_sp_ASF356"
"Dorea_sp_5_2","41.07641194374939","0.457619577","interacts with","Dorea_sp_5_2 (interacts with) Prevotella_sp_MGM2","false","interacts with","Dorea_sp_5_2 (interacts with) Prevotella_sp_MGM2"
"Acetatifactor_muris","12.268664511058018","-0.56507117","interacts with","Acetatifactor_muris (interacts with) Adlercreutzia_equolifaciens","false","interacts with","Acetatifactor_muris (interacts with) Adlercreutzia_equolifaciens"
