	group	Acetatifactor_muris	Acutalibacter_muris	Adlercreutzia_equolifaciens	Akkermansia_muciniphila	Alistipes_indistinctus	Alistipes_shahii	Alistipes_timonensis	Anaerotruncus_sp_G3_2012	Asaccharobacter_celatus	Bacteroides_caecimuris	Bacteroides_dorei	Bacteroides_faecichinchillae	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_sartorii	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bifidobacterium_animalis	Bifidobacterium_pseudolongum	Butyricimonas_virosa	Clostridium_cocleatum	Clostridium_sp_ASF356	Clostridium_sp_ASF502	Desulfovibrionaceae_bacterium	Dorea_sp_5_2	Enterococcus_gallinarum	Enterorhabdus_caecimuris	Eubacterium_plexicaudatum	Faecalibaculum_rodentium	Firmicutes_bacterium_ASF500	Helicobacter_apodemus	Helicobacter_ganmani	Ileibacterium_valens	Lachnospiraceae_bacterium_10_1	Lachnospiraceae_bacterium_28_4	Lachnospiraceae_bacterium_3_1	Lachnospiraceae_bacterium_3_2	Lachnospiraceae_bacterium_A4	Lachnospiraceae_bacterium_COE1	Lachnospiraceae_bacterium_M18_1	Lactobacillus_johnsonii	Lactobacillus_murinus	Lactobacillus_reuteri	Lactobacillus_taiwanensis	Mucispirillum_schaedleri	Muribaculaceae_bacterium_DSM_103720	Muribaculum_intestinale	Oscillibacter_sp_1_3	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parasutterella_excrementihominis	Prevotella_sp_MGM2	Proteobacteria_bacterium_CAG_139	Romboutsia_ilealis	Streptococcus_acidominimus	Turicimonas_muris
ND1	N	0.00E+00	2.41E+00	1.79E+00	2.27E+00	0.00E+00	0.00E+00	0.00E+00	4.04E+00	1.78E+00	1.88E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.33E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.16E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.04E+00	0.00E+00	0.00E+00	0.00E+00	2.02E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.62E+00	3.33E+00	0.00E+00	1.54E+00	0.00E+00	2.49E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ND7	N	0.00E+00	0.00E+00	2.12E+00	1.63E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.84E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.99E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.50E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ND14	N	1.34E+00	4.13E+00	0.00E+00	1.54E+00	3.30E+00	3.02E+00	1.46E+00	0.00E+00	0.00E+00	0.00E+00	2.37E+00	2.80E+00	1.43E+00	0.00E+00	1.49E+00	0.00E+00	0.00E+00	3.02E+00	0.00E+00	0.00E+00	2.00E+00	2.15E+00	0.00E+00	0.00E+00	0.00E+00	3.03E+00	2.32E+00	1.66E+00	0.00E+00	0.00E+00	0.00E+00	3.82E+00	1.63E+00	0.00E+00	2.44E+00	0.00E+00	3.15E+00	0.00E+00	1.93E+00	0.00E+00	0.00E+00	2.17E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.01E+00	0.00E+00	1.64E+00	0.00E+00	0.00E+00	0.00E+00	5.24E+00	0.00E+00	1.77E+00	0.00E+00	3.90E+00
ND21	N	0.00E+00	0.00E+00	2.07E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.30E+00	1.56E+00	1.82E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.66E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.92E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.39E+00	0.00E+00	0.00E+00	1.65E+00	0.00E+00	0.00E+00	1.92E+00	0.00E+00	0.00E+00	1.35E+00	0.00E+00	0.00E+00	1.37E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ND28	N	0.00E+00	0.00E+00	1.51E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.55E+00	1.69E+00	0.00E+00	0.00E+00	0.00E+00	2.45E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.68E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.53E+00	0.00E+00	0.00E+00	1.77E+00	0.00E+00	0.00E+00	1.59E+00	1.78E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
AD1	A	0.00E+00	4.58E+00	0.00E+00	0.00E+00	0.00E+00	1.50E+00	1.79E+00	1.89E+00	1.90E+00	2.03E+00	3.98E+00	2.45E+00	1.98E+00	1.51E+00	4.04E+00	0.00E+00	1.41E+00	2.70E+00	5.04E+00	0.00E+00	2.07E+00	3.44E+00	1.51E+00	0.00E+00	0.00E+00	1.78E+00	1.57E+00	0.00E+00	0.00E+00	1.39E+00	0.00E+00	4.40E+00	0.00E+00	3.17E+00	2.90E+00	0.00E+00	4.00E+00	2.55E+00	2.72E+00	0.00E+00	0.00E+00	2.19E+00	2.60E+00	0.00E+00	0.00E+00	0.00E+00	2.61E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.75E+00	0.00E+00	4.14E+00	2.13E+00	2.33E+00
AD7	A	0.00E+00	3.57E+00	0.00E+00	0.00E+00	0.00E+00	3.82E+00	1.76E+00	0.00E+00	0.00E+00	0.00E+00	3.04E+00	3.12E+00	1.63E+00	0.00E+00	4.39E+00	0.00E+00	0.00E+00	3.28E+00	0.00E+00	0.00E+00	2.65E+00	4.26E+00	1.35E+00	0.00E+00	0.00E+00	1.80E+00	0.00E+00	2.02E+00	0.00E+00	0.00E+00	0.00E+00	3.12E+00	0.00E+00	4.22E+00	2.14E+00	0.00E+00	1.55E+00	1.40E+00	3.13E+00	0.00E+00	0.00E+00	2.11E+00	1.45E+00	0.00E+00	0.00E+00	0.00E+00	2.32E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.84E+00	0.00E+00	1.67E+00	0.00E+00	1.51E+00
AD14	A	1.34E+00	4.13E+00	0.00E+00	1.54E+00	3.30E+00	3.02E+00	1.46E+00	0.00E+00	0.00E+00	0.00E+00	2.37E+00	2.80E+00	1.43E+00	0.00E+00	1.49E+00	0.00E+00	0.00E+00	3.02E+00	0.00E+00	0.00E+00	2.00E+00	2.15E+00	0.00E+00	0.00E+00	0.00E+00	3.03E+00	2.32E+00	1.66E+00	0.00E+00	0.00E+00	0.00E+00	3.82E+00	1.63E+00	0.00E+00	2.44E+00	0.00E+00	3.15E+00	0.00E+00	1.93E+00	0.00E+00	0.00E+00	2.17E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.01E+00	0.00E+00	1.64E+00	0.00E+00	0.00E+00	0.00E+00	5.24E+00	0.00E+00	1.77E+00	0.00E+00	3.90E+00
AD21	A	0.00E+00	2.11E+00	1.90E+00	0.00E+00	2.55E+00	3.90E+00	2.01E+00	0.00E+00	1.51E+00	2.03E+00	4.32E+00	3.20E+00	1.37E+00	2.18E+00	2.64E+00	0.00E+00	0.00E+00	2.71E+00	0.00E+00	0.00E+00	1.83E+00	3.97E+00	0.00E+00	0.00E+00	0.00E+00	4.29E+00	1.49E+00	1.62E+00	0.00E+00	1.76E+00	0.00E+00	4.06E+00	1.74E+00	0.00E+00	1.78E+00	0.00E+00	1.74E+00	0.00E+00	1.54E+00	0.00E+00	0.00E+00	2.66E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.38E+00	0.00E+00	0.00E+00	0.00E+00	1.56E+00	0.00E+00	4.84E+00	0.00E+00	3.65E+00	0.00E+00	1.93E+00
AD28	A	1.43E+00	3.75E+00	0.00E+00	0.00E+00	1.46E+00	3.74E+00	1.47E+00	0.00E+00	1.80E+00	1.82E+00	3.75E+00	3.68E+00	1.61E+00	0.00E+00	2.87E+00	0.00E+00	0.00E+00	2.77E+00	0.00E+00	0.00E+00	1.38E+00	3.16E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.47E+00	0.00E+00	0.00E+00	0.00E+00	4.40E+00	0.00E+00	1.63E+00	1.86E+00	0.00E+00	1.74E+00	1.70E+00	1.52E+00	0.00E+00	0.00E+00	2.23E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.03E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.70E+00	0.00E+00	2.33E+00	0.00E+00	0.00E+00
