		sucrose biosynthesis II	UDP-N-acetyl-D-glucosamine biosynthesis I	L-ornithine biosynthesis I	pyruvate fermentation to acetate and lactate II	pyruvate fermentation to isobutanol (engineered)	pyruvate fermentation to acetate and (S)-lactate I	superpathway of L-serine and glycine biosynthesis I	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	superpathway of pyrimidine ribonucleotides de novo biosynthesis	L-lysine biosynthesis I	 L-cysteine biosynthesis VI (from L-methionine)	 stearate biosynthesis II (bacteria and plants)	 inosine-5'-phosphate biosynthesis III	 superpathway of L-tyrosine biosynthesis	 sucrose degradation IV (sucrose phosphorylase)	 octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	 myristate biosynthesis (mitochondria)	 fatty acid elongation -- saturated	 palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	 oleate biosynthesis IV (anaerobic)	 L-methionine biosynthesis II	 GDP-mannose biosynthesis	 C4 photosynthetic carbon assimilation cycle, PEPCK type	 (5Z)-dodecenoate biosynthesis I	 palmitate biosynthesis (type II fatty acid synthase)	 seleno-amino acid biosynthesis (plants)	 ethanolamine utilization	 acetylene degradation (anaerobic)	 superpathway of L-phenylalanine biosynthesis	 superpathway of L-alanine biosynthesis	 superpathway of unsaturated fatty acids biosynthesis (E. coli)	 superpathway of anaerobic sucrose degradation	 pyrimidine deoxyribonucleotides de novo biosynthesis IV	 L-lysine biosynthesis II	 TCA cycle V (2-oxoglutarate synthase)	 pentose phosphate pathway	 petroselinate biosynthesis	 C4 photosynthetic carbon assimilation cycle, NADP-ME type	 Bifidobacterium shunt	 C4 photosynthetic carbon assimilation cycle, NAD-ME type	 8-amino-7-oxononanoate biosynthesis I	 biotin biosynthesis I	 starch biosynthesis	 phosphatidylglycerol biosynthesis I (plastidic)	 phosphatidylglycerol biosynthesis II (non-plastidic)	 superpathway of purine deoxyribonucleosides degradation	 superpathway of N-acetylneuraminate degradation	 glycogen degradation I	 L-histidine degradation III	 incomplete reductive TCA cycle
sample	group	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
B1	B	9.428758442	11.66862825	12.01697741	16.33764176	16.49039394	22.24091935	35.5208043	21.72207003	15.34797265	30.34666701	13.97138148	27.96881381	28.62114931	3.647632348	6.342265559	19.19928065	67.30885331	20.3029414	26.4380917	23.12066689	5.151448879	18.2780456	2.998725154	26.40840672	73.32068962	4.602034174	19.57267207	5.152734877	2.449730326	6.163332387	69.37949427	9.071399208	14.2786232	2.941961948	7.021097384	14.33241014	59.664345	2.496890257	4.621429889	4.790208419	26.00128771	23.33927335	2.449730326	12.92453312	12.92453312	2.370021049	0	10.15372763	2.116551072	2.395847552
B2	B	17.30042917	11.17638556	13.43844424	15.32939109	16.13658007	20.96880842	45.99845391	25.16642467	13.58687942	27.81044748	16.31025801	29.0460146	30.89984483	4.503154947	7.993507168	20.64964984	69.41533251	20.19328753	26.76065576	23.11305829	5.992790998	21.45618552	3.356536105	26.16913388	72.3696018	6.368555412	21.15832254	6.005348212	2.44153156	6.749418715	69.69792348	7.491917303	12.69458324	2.220417292	4.505408733	8.672896897	62.68030428	2.279942746	4.828342628	5.050374548	23.74552987	20.95040637	2.436713358	6.196781413	6.196781413	2.480364291	1.747908324	9.76220925	2.90931395	1.499848785
B3	B	14.98159301	11.27621196	13.11931452	24.01783768	15.8931804	28.02295277	40.6291418	23.33702592	14.88509447	31.93986677	14.63520752	28.81732068	29.26573214	4.328211694	7.485805975	20.34235782	68.94074075	20.25514045	26.99874519	23.57545019	7.930610356	17.78143938	4.630871984	26.95355857	74.18256071	5.702069341	19.31482834	5.731423427	2.566463624	6.538116005	70.98126684	6.544797558	13.75559096	2.50950998	5.034381625	7.826517279	62.87668253	1.498357309	4.815765179	5.084262301	23.57545019	20.54555025	2.388962904	9.104079534	9.104079534	2.872178263	1.824989976	7.864345196	2.818020865	1.568952066
B4	B	5.982377626	4.513967929	4.991719308	4.257245554	4.501454881	5.844644173	9.314456081	5.570809827	4.525657014	7.094873576	5.253770002	17.64415517	8.031737001	2.514771962	4.147945152	13.30058933	38.6772769	15.09380007	17.15927571	16.06209038	4.580219312	5.484442458	3.013370308	28.02059322	43.59714064	3.472620769	8.651111591	3.864613475	1.8823501	4.257245554	37.37957646	4.513967929	5.503844543	2.168242049	2.42501806	5.536366375	30.30072481	0	3.48515753	3.452573308	19.70194415	18.21136871	1.738706747	3.846064049	3.846064049	1.703494949	1.540225084	3.593974038	2.42501806	0
B5	B	14.32072659	9.354273242	10.24852074	11.00514636	11.43831438	15.87640967	23.98948804	14.64610299	10.81222554	17.37400885	13.82663888	27.18894807	22.75357529	4.634493296	7.668957564	19.43750491	61.92878098	18.54316348	25.0797462	22.22005737	5.951830201	30.03752648	4.634119082	24.66136425	67.40859032	6.004597369	12.12079513	6.015400685	3.678049637	6.76728335	60.15192178	7.431188345	11.85300424	7.128111965	4.72646632	11.80098573	50.73027696	1.325060638	4.033074897	4.63262544	23.70914212	21.01521624	2.340123715	11.85300424	11.85300424	2.466800093	1.964314164	7.618235318	5.141396641	2.057396751
A1	A	3.813089271	2.760841022	10.85201942	3.534640558	0	6.665155702	5.030378038	2.996447949	2.183029052	3.274649985	0	13.2001674	0	0	1.3201159	1.982530557	6.431247242	12.88032029	13.13354106	13.13354106	0	2.570352155	0	13.2001674	14.33141824	0	1.818847744	1.425211131	0	0	7.13574718	2.721432752	0	5.258819332	0	0	4.354570988	0	0	0	12.03721923	12.03721923	0	5.967460246	5.967460246	0	0	0	4.93212188	0
A2	A	0	1.361029646	2.922196807	0	0	0	2.930859498	2.889381002	1.777188988	2.182266317	0	7.370052222	0	0	0	0	0	7.299636817	7.370052222	7.370052222	0	1.423426369	0	7.370052222	0	0	0	0	0	0	0	1.392422455	0	0	0	0	0	0	0	0	7.179413564	7.203970984	0	0	0	0	0	0	1.63756798	0
A3	A	0	1.565813824	3.712346721	0	0	1.55911449	2.267499004	3.477409806	1.946879991	3.059684939	0	9.889596963	0	0	0	0	0	9.889596963	9.889596963	9.889596963	0	1.552160737	0	9.889596963	0	0	0	0	0	0	0	1.608709938	0	0	0	0	0	0	0	0	9.142118031	9.266254166	0	1.359604418	1.359604418	0	0	0	1.854854151	0
A4	A	9.828925099	4.033001666	14.90339181	2.874323412	0	5.707745931	2.555458007	2.029330738	2.555458007	1.846752304	0	10.48396443	0	0	1.755121252	0	0	10.2585152	10.39450921	10.39450921	0	1.759495205	0	10.48396443	0	0	1.899903084	1.379873275	0	0	0	2.74784216	1.71562822	5.84725312	2.118926877	1.464481013	0	0	0	0	9.708763393	9.756949764	0	4.767485652	4.767485652	0	0	1.600786678	2.874462677	0
