	Parabacteroides_goldsteinii	Muribaculum_intestinale	Helicobacter_apodemus	Akkermansia_muciniphila	Lactobacillus_murinus	Helicobacter_typhlonius	Alistipes_timonensis	Bacteroides_vulgatus	Helicobacter_hepaticus	Bacteroides_thetaiotaomicron	Asaccharobacter_celatus	Mucispirillum_schaedleri	pd	Turicimonas_muris	Lactobacillus_reuteri	v9	Bacteroides_uniformis	Helicobacter_ganmani	Parasutterella_excrementihominis	Bacteroides_caecimuris	Bacteroides_sartorii	Adlercreutzia_equolifaciens	Faecalibaculum_rodentium
Parabacteroides_goldsteinii	1.0	0.7098970382165605	0.7176105	0.6976386956521741	0.7290195454545452	0.7222604761904764	0.707017029288703	0.7216490452876377	0.7213436363636363	0.7394925367286973	0.7030104347826087	0.7084841379310345	0.7535274289841116	0.7087408000000001	0.7271321428571428	0.7087956249999999	0.7218935740514075	0.7214983333333334	0.7175978260869565	0.7463801877346684	0.7274029565217391	0.7048845454545455	0.7074616
Muribaculum_intestinale	0.708725777027027	1.0	0.7401833333333334	0.7107656	0.7442174999999999	0.7272741666666667	0.7054172588832488	0.700915286885246	0.7266666666666666	0.7015689895470384	0.7134375000000002	0.7200019999999999	0.7075874517374517	0.7079954999999999	0.76684	0.7044147368421052	0.7082547385620915	0.73506	0.7068442857142857	0.7184975874125874	0.7167376271186442	0.7105038095238095	0.710422
Helicobacter_apodemus	0.720409	0.7270000000000001	1.0	0.73958125	0.7350966666666666	0.731104498141264	0.7386400000000001	0.7190772727272728	0.7275588709677421	0.7186954545454546	0.7384514285714286	0.7067212	0.7272736363636364	0.7160141666666668	0.7344222222222222	0.7357685714285712	0.7188370000000001	0.7371240148698884	0.7258955555555555	0.7325233333333333	0.7313560000000001	0.7381771428571429	0.7263
Akkermansia_muciniphila	0.69677775	0.6994688461538462	0.7294200000000001	1.0	0.7252366666666668	0.72875625	0.694408108108108	0.6955979310344828	0.7217775000000001	0.7026077142857144	0.7035494444444446	0.7025890000000001	0.6971963333333333	0.7095372727272727	0.7371925	0.7054681818181817	0.6962924324324324	0.7260475	0.7032785714285713	0.722349523809524	0.6914904444444443	0.7054794736842105	0.6993526666666666
Lactobacillus_murinus	0.728172	0.7367957894736842	0.7401419999999999	0.7294142857142858	1.0	0.7442823809523809	0.7288280952380951	0.726045909090909	0.73496375	0.7276712500000001	0.7423534782608695	0.734182	0.73187875	0.728348	0.7093129807692308	0.7525785714285713	0.7229926923076925	0.7411090909090909	0.7385825000000001	0.7233292	0.7281000000000001	0.742108695652174	0.7450232352941175
Helicobacter_typhlonius	0.7121225	0.708114	0.7267404059040591	0.7156416666666666	0.714769090909091	1.0	0.71304	0.7011260000000001	0.7970197271126762	0.7097133333333335	0.7241279999999999	0.6984920000000001	0.7115557142857144	0.7011249999999999	0.7009157142857143	0.7345275	0.7059488888888888	0.753772340425532	0.70918375	0.71498	0.7045689999999999	0.723826	0.727846
Alistipes_timonensis	0.699733090909091	0.7015413636363637	0.73512	0.6805412903225806	0.7096825	0.7249366666666667	1.0	0.6896956375838926	0.7166966666666665	0.6949623880597013	0.6760959259259259	0.71016	0.6945094845360825	0.6787199999999999	0.678725	0.693716	0.7009242990654206	0.7071950000000001	0.69324	0.6903661988304094	0.6937418994413408	0.6780985185185184	0.6719124999999998
Bacteroides_vulgatus	0.7240457620817843	0.7036389925373134	0.7204435000000001	0.6992899999999999	0.7267345454545455	0.7221778260869567	0.7029784153005463	1.0	0.7188044444444445	0.7423048675034869	0.7112817391304348	0.7181565624999999	0.725730012820513	0.7057858620689654	0.7363815384615384	0.7257542857142859	0.742613056910569	0.723073043478261	0.7159028571428573	0.749518219291014	0.903401037136166	0.7112999999999999	0.70144
Helicobacter_hepaticus	0.6945728571428572	0.7195475	0.7250046302250804	0.7194450000000001	0.7119662500000001	0.7954337924865831	0.74445	0.7102240000000001	1.0	0.70699	0.7512833333333333	0.7271038095238095	0.7220775	0.7057142857142857	0.7362375	0.7409066666666666	0.7314925	0.7468379166666667	0.7175160000000002	0.71796	0.723705	0.74979	0.7433066666666666
Bacteroides_thetaiotaomicron	0.7337328235294119	0.7013422857142857	0.7224553333333333	0.7059186363636363	0.7289095000000001	0.7237473684210527	0.6977918548387096	0.7386780945853325	0.7172195238095239	1.0	0.6987530000000001	0.7087111111111112	0.7208779301745637	0.7085270833333334	0.7247899999999998	0.7210938461538462	0.7570134266585514	0.7271270588235293	0.719441111111111	0.813383778060144	0.739835250338295	0.6991670000000001	0.7135042105263157
